X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.9095227480001,4.22508189200005,1,11,Aceh,22,18,1
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,680,205,56
100.46680503,-0.85191434799998,3,13,Sumatera Barat,661,392,29
101.812891954,0.510525849000032,4,14,Riau,120,107,6
103.59932,-1.61775,5,15,Jambi,105,27,0
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,1271,505,46
102.26312,-3.79116,7,17,Bengkulu,92,48,4
105.986948082,-2.25295641099996,8,19,Kepulauan Bangka Belitung,126,43,1
105.018313051,-4.91807308699993,9,18,Lampung,152,109,11
108.202228889,3.91594724100003,10,21,Kepulauan Riau,238,128,16
106.82649,-6.17148,11,31,DKI Jakarta,8650,3661,537
107.602807898,-6.91998021599994,12,32,Jawa Barat,2551,1016,161
110.201112529,-7.25897038299996,13,33,Jawa Tengah,1832,631,103
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,252,195,8
112.733678801,-7.72011301899994,15,35,Jawa Timur,7103,1793,553
106.109197069,-6.45618159899993,16,36,Banten,1121,411,75
115.131650995,-8.36974326099994,17,51,Bali,659,424,5
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,868,448,31
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,105,37,1
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,245,145,4
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,552,213,29
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,1634,164,112
116.470858393,0.461046227000054,23,64,Kalimantan Timur,365,228,3
116.216718309,2.88882096100002,24,65,Kalimantan Utara,170,135,2
124.53537885,1.28609768700005,25,71,Sulawesi Utara,579,97,52
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,159,95,4
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,2524,757,98
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,272,178,5
123.06184,0.53707,29,75,Gorontalo,149,69,7
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,96,66,2
129.360425,-3.12611934299997,31,81,Maluku,328,89,9
128.015929442,0.869337001000019,32,82,Maluku Utara,263,39,20
140.0,-5.0,33,94,Papua,1156,78,7
132.968341712,-2.04172328199996,34,91,Papua Barat,195,85,2
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
