tanggal,diagnosa,jumlah
2020-05-01,Meninggal Harian,12
2020-05-01,Sembuh Harian,15
2020-05-01,Positif Harian,145
2020-05-02,Meninggal Harian,7
2020-05-02,Sembuh Harian,135
2020-05-02,Positif Harian,72
2020-05-03,Meninggal Harian,10
2020-05-03,Sembuh Harian,60
2020-05-03,Positif Harian,62
2020-05-04,Meninggal Harian,2
2020-05-04,Sembuh Harian,28
2020-05-04,Positif Harian,55
2020-05-05,Meninggal Harian,2
2020-05-05,Sembuh Harian,61
2020-05-05,Positif Harian,169
2020-05-06,Meninggal Harian,6
2020-05-06,Sembuh Harian,2
2020-05-06,Positif Harian,68
2020-05-07,Meninggal Harian,10
2020-05-07,Sembuh Harian,5
2020-05-07,Positif Harian,66
2020-05-08,Meninggal Harian,1
2020-05-08,Sembuh Harian,45
2020-05-08,Positif Harian,126
2020-05-09,Meninggal Harian,6
2020-05-09,Sembuh Harian,4
2020-05-09,Positif Harian,57
2020-05-10,Meninggal Harian,7
2020-05-10,Sembuh Harian,36
2020-05-10,Positif Harian,182
2020-05-11,Meninggal Harian,9
2020-05-11,Sembuh Harian,33
2020-05-11,Positif Harian,55
2020-05-12,Meninggal Harian,4
2020-05-12,Sembuh Harian,426
2020-05-12,Positif Harian,108
2020-05-13,Meninggal Harian,4
2020-05-13,Sembuh Harian,15
2020-05-13,Positif Harian,134
2020-05-14,Meninggal Harian,5
2020-05-14,Sembuh Harian,2
2020-05-14,Positif Harian,180
2020-05-15,Meninggal Harian,8
2020-05-15,Sembuh Harian,7
2020-05-15,Positif Harian,62
2020-05-16,Meninggal Harian,1
2020-05-16,Sembuh Harian,6
2020-05-16,Positif Harian,116
2020-05-17,Meninggal Harian,3
2020-05-17,Sembuh Harian,3
2020-05-17,Positif Harian,127
2020-05-18,Meninggal Harian,5
2020-05-18,Sembuh Harian,6
2020-05-18,Positif Harian,74
2020-05-19,Meninggal Harian,4
2020-05-19,Sembuh Harian,116
2020-05-19,Positif Harian,57
2020-05-20,Meninggal Harian,6
2020-05-20,Sembuh Harian,8
2020-05-20,Positif Harian,97
2020-05-21,Meninggal Harian,5
2020-05-21,Sembuh Harian,111
2020-05-21,Positif Harian,70
2020-05-22,Meninggal Harian,3
2020-05-22,Sembuh Harian,22
2020-05-22,Positif Harian,96
2020-05-23,Meninggal Harian,3
2020-05-23,Sembuh Harian,29
2020-05-23,Positif Harian,127
2020-05-24,Meninggal Harian,1
2020-05-24,Sembuh Harian,7
2020-05-24,Positif Harian,118
2020-05-25,Meninggal Harian,1
2020-05-25,Sembuh Harian,54
2020-05-25,Positif Harian,67
2020-05-26,Meninggal Harian,2
2020-05-26,Sembuh Harian,30
2020-05-26,Positif Harian,61
2020-05-27,Meninggal Harian,2
2020-05-27,Sembuh Harian,20
2020-05-27,Positif Harian,137
2020-05-28,Meninggal Harian,4
2020-05-28,Sembuh Harian,21
2020-05-28,Positif Harian,103
2020-05-29,Meninggal Harian,3
2020-05-29,Sembuh Harian,88
2020-05-29,Positif Harian,124
2020-05-30,Meninggal Harian,2
2020-05-30,Sembuh Harian,196
2020-05-30,Positif Harian,98
2020-05-31,Meninggal Harian,1
2020-05-31,Sembuh Harian,99
2020-05-31,Positif Harian,121
